Score, 
1 
0 
1 
0 
0 
1 
2 
0 
0 
2 
0 
1 
0 
2 
1 
4 
3 
5 
5 
8 
1 
4 
1 
1 
2 
2 
1 
0 
4 
0 
3 
2 
0 
2 
2 
6 
17 
3 
6 
4 
2 
3 
1 
15 
14 
2 
36 
9 
8 
21 
3 
11 
17 
13 
7 
1 
11 
23 
2 
7 
6 
11 
9 
42 
19 
23 
0 
17 
48 
32 
22 
28 
52 
8 
8 
53 
5 
12 
51 
39 
46 
51 
44 
45 
51 
58 
50 
48 
42 
54 
47 
50 
41 
52 
55 
44 
50 
51 
54 
52 
