Score, 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
1 
1 
0 
0 
0 
0 
0 
2 
0 
0 
0 
0 
0 
0 
2 
1 
0 
1 
0 
0 
1 
0 
0 
0 
0 
1 
0 
2 
0 
0 
0 
2 
0 
0 
1 
1 
1 
2 
0 
0 
1 
0 
0 
1 
0 
1 
2 
1 
2 
3 
1 
0 
0 
1 
0 
1 
2 
3 
2 
0 
3 
3 
1 
5 
1 
0 
4 
1 
1 
1 
2 
2 
3 
1 
0 
1 
5 
2 
1 
4 
0 
1 
7 
0 
2 
1 
0 
0 
6 
2 
2 
2 
0 
1 
1 
4 
6 
10 
8 
2 
4 
22 
7 
3 
9 
11 
0 
0 
3 
7 
3 
3 
2 
2 
2 
1 
5 
2 
0 
1 
10 
2 
10 
1 
1 
2 
9 
7 
4 
4 
10 
2 
0 
5 
1 
2 
4 
2 
11 
7 
14 
4 
1 
4 
1 
0 
6 
11 
7 
12 
2 
26 
19 
1 
1 
4 
2 
2 
6 
17 
14 
0 
8 
14 
4 
11 
18 
13 
4 
1 
6 
17 
3 
3 
17 
24 
17 
8 
27 
3 
33 
50 
39 
36 
35 
38 
42 
50 
38 
