Score, Time, Reward, Epsilon, Bumps, Steps, Rotations
14, 1.5490, 108.0000, 0.7255, 32, 135, 166
16, 1.5365, 158.0000, 0.7232, 2, 124, 177
14, 1.8906, 127.0000, 0.7210, 13, 120, 181
21, 1.8743, 194.0000, 0.7188, 6, 117, 184
16, 1.9745, 150.0000, 0.7165, 21, 150, 151
17, 1.9102, 161.0000, 0.7142, 9, 142, 159
18, 1.3161, 163.0000, 0.7120, 18, 140, 161
16, 1.1120, 154.0000, 0.7097, 6, 126, 175
15, 1.7378, 134.0000, 0.7075, 19, 136, 165
13, 1.7741, 109.0000, 0.7052, 22, 126, 175
14, 1.7626, 129.0000, 0.7030, 11, 120, 181
18, 1.9468, 165.0000, 0.7007, 16, 147, 154
20, 1.7731, 196.0000, 0.6985, 5, 146, 155
16, 1.7979, 131.0000, 0.6963, 29, 138, 163
16, 1.7779, 157.0000, 0.6940, 3, 127, 174
16, 1.2667, 148.0000, 0.6917, 16, 143, 158
17, 1.7755, 152.0000, 0.6895, 19, 141, 160
19, 1.9262, 167.0000, 0.6872, 26, 144, 157
18, 1.9462, 163.0000, 0.6850, 17, 125, 176
17, 1.9681, 158.0000, 0.6827, 14, 130, 171
19, 1.9326, 186.0000, 0.6805, 7, 131, 170
21, 1.7053, 200.0000, 0.6783, 11, 138, 163
19, 1.2789, 167.0000, 0.6760, 23, 136, 165
18, 1.8034, 163.0000, 0.6737, 18, 142, 159
19, 1.8680, 190.0000, 0.6715, 0, 125, 176
17, 1.7425, 159.0000, 0.6692, 11, 121, 180
23, 1.7710, 214.0000, 0.6670, 18, 142, 159
16, 1.8666, 152.0000, 0.6647, 10, 121, 180
23, 1.8383, 209.0000, 0.6625, 23, 145, 156
25, 1.8700, 248.0000, 0.6603, 4, 143, 158
22, 1.6541, 214.0000, 0.6580, 7, 143, 158
29, 1.9142, 270.0000, 0.6557, 22, 148, 153
22, 1.8624, 213.0000, 0.6535, 7, 137, 164
16, 1.8672, 152.0000, 0.6512, 9, 135, 166
21, 1.9911, 201.0000, 0.6490, 11, 138, 163
23, 1.7068, 216.0000, 0.6467, 14, 128, 173
21, 1.1007, 206.0000, 0.6445, 5, 148, 153
28, 1.5456, 273.0000, 0.6422, 10, 154, 147
16, 1.8938, 149.0000, 0.6400, 12, 143, 158
21, 1.8228, 189.0000, 0.6378, 24, 131, 170
21, 1.7561, 205.0000, 0.6355, 5, 146, 155
17, 1.8027, 152.0000, 0.6332, 19, 136, 165
20, 1.9641, 194.0000, 0.6310, 6, 150, 151
16, 1.8454, 149.0000, 0.6287, 13, 134, 167
22, 1.8351, 205.0000, 0.6265, 16, 140, 161
22, 1.6132, 210.0000, 0.6242, 10, 143, 158
26, 1.4564, 250.0000, 0.6220, 11, 151, 150
22, 1.8105, 219.0000, 0.6198, 4, 146, 155
23, 1.7585, 217.0000, 0.6175, 13, 152, 149
20, 1.9534, 192.0000, 0.6152, 8, 143, 158
23, 1.8740, 214.0000, 0.6130, 8, 146, 155
23, 1.8096, 225.0000, 0.6107, 16, 156, 145
21, 1.8820, 186.0000, 0.6085, 27, 157, 144
29, 1.1363, 280.0000, 0.6062, 16, 177, 124
27, 1.3627, 252.0000, 0.6040, 22, 166, 135
22, 1.8074, 199.0000, 0.6018, 27, 167, 134
22, 1.7635, 208.0000, 0.5995, 13, 160, 141
22, 1.7647, 215.0000, 0.5972, 9, 153, 148
24, 1.7610, 233.0000, 0.5950, 13, 155, 146
23, 1.7831, 216.0000, 0.5927, 16, 165, 136
25, 1.7958, 239.0000, 0.5905, 12, 156, 145
25, 1.5174, 232.0000, 0.5882, 23, 154, 147
22, 1.3358, 208.0000, 0.5860, 15, 144, 157
20, 1.1794, 180.0000, 0.5837, 21, 163, 138
20, 1.8547, 191.0000, 0.5815, 9, 142, 159
23, 2.0010, 220.0000, 0.5792, 12, 145, 156
27, 2.1596, 270.0000, 0.5770, 1, 146, 155
25, 1.8832, 233.0000, 0.5747, 17, 138, 163
23, 1.9087, 223.0000, 0.5725, 10, 157, 144
26, 2.0588, 236.0000, 0.5702, 15, 171, 130
25, 1.8349, 243.0000, 0.5680, 17, 160, 141
25, 1.8960, 240.0000, 0.5657, 13, 162, 139
25, 1.4687, 243.0000, 0.5635, 10, 156, 145
25, 1.4313, 237.0000, 0.5613, 13, 157, 144
22, 1.8890, 216.0000, 0.5590, 5, 150, 151
23, 2.0273, 227.0000, 0.5567, 5, 151, 150
25, 1.8896, 246.0000, 0.5545, 6, 146, 155
27, 1.9710, 269.0000, 0.5522, 2, 150, 151
30, 1.9308, 285.0000, 0.5500, 9, 178, 123
28, 1.9701, 286.0000, 0.5477, 5, 168, 133
33, 1.8489, 326.0000, 0.5455, 7, 195, 106
29, 1.8857, 276.0000, 0.5433, 5, 171, 130
30, 1.9296, 302.0000, 0.5410, 14, 187, 114
22, 1.9635, 196.0000, 0.5387, 27, 155, 146
32, 1.9822, 311.0000, 0.5365, 14, 175, 126
25, 1.7688, 231.0000, 0.5342, 9, 156, 145
28, 1.8574, 277.0000, 0.5320, 19, 170, 131
28, 1.9055, 266.0000, 0.5297, 18, 174, 127
25, 1.4641, 242.0000, 0.5275, 9, 179, 122
25, 1.4076, 239.0000, 0.5252, 15, 163, 138
31, 1.9887, 307.0000, 0.5230, 5, 158, 143
28, 1.9427, 265.0000, 0.5207, 16, 160, 141
27, 1.9712, 267.0000, 0.5185, 4, 166, 135
27, 1.9204, 270.0000, 0.5162, 0, 145, 156
31, 1.9373, 301.0000, 0.5140, 10, 179, 122
30, 1.8965, 291.0000, 0.5117, 13, 165, 136
26, 2.0379, 250.0000, 0.5095, 10, 156, 145
30, 1.9237, 282.0000, 0.5072, 26, 177, 124
30, 1.9013, 295.0000, 0.5050, 6, 173, 128
28, 1.7116, 274.0000, 0.5027, 10, 180, 121
30, 1.7968, 294.0000, 0.5005, 10, 170, 131
28, 1.8570, 276.0000, 0.4982, 6, 173, 128
27, 1.8076, 264.0000, 0.4960, 11, 174, 127
28, 1.7739, 268.0000, 0.4937, 20, 180, 121
30, 1.7861, 292.0000, 0.4915, 12, 168, 133
28, 1.7692, 269.0000, 0.4892, 14, 171, 130
33, 1.7728, 315.0000, 0.4870, 6, 181, 120
28, 2.0206, 278.0000, 0.4847, 2, 169, 132
36, 1.5044, 369.0000, 0.4825, 2, 168, 133
33, 1.8891, 327.0000, 0.4802, 4, 170, 131
28, 1.8680, 272.0000, 0.4780, 11, 182, 119
28, 1.8980, 261.0000, 0.4757, 21, 175, 126
25, 2.0545, 244.0000, 0.4735, 7, 161, 140
29, 1.8511, 289.0000, 0.4712, 2, 180, 121
32, 1.7788, 316.0000, 0.4690, 5, 186, 115
30, 1.7496, 298.0000, 0.4667, 3, 171, 130
28, 1.2274, 264.0000, 0.4645, 24, 192, 109
27, 1.6496, 261.0000, 0.4622, 15, 177, 124
35, 1.7619, 349.0000, 0.4600, 3, 197, 104
32, 1.8050, 318.0000, 0.4577, 7, 192, 109
30, 1.7791, 297.0000, 0.4555, 7, 170, 131
30, 1.7268, 298.0000, 0.4532, 2, 159, 142
26, 1.7517, 246.0000, 0.4510, 4, 159, 142
29, 1.7391, 297.0000, 0.4487, 3, 163, 138
30, 1.7435, 290.0000, 0.4465, 13, 181, 120
25, 1.2216, 245.0000, 0.4442, 9, 177, 124
30, 1.8400, 292.0000, 0.4420, 14, 176, 125
29, 1.8254, 284.0000, 0.4397, 8, 186, 115
35, 1.9436, 350.0000, 0.4375, 2, 185, 116
26, 1.9312, 257.0000, 0.4352, 5, 176, 125
28, 1.8415, 278.0000, 0.4330, 6, 180, 121
28, 1.7584, 260.0000, 0.4307, 28, 173, 128
36, 1.3644, 353.0000, 0.4285, 10, 195, 106
32, 1.9755, 318.0000, 0.4262, 2, 177, 124
31, 1.9619, 298.0000, 0.4240, 14, 178, 123
29, 1.9121, 283.0000, 0.4217, 7, 168, 133
26, 1.8379, 253.0000, 0.4195, 9, 187, 114
33, 1.9543, 330.0000, 0.4172, 0, 189, 112
28, 1.9295, 267.0000, 0.4150, 3, 158, 143
33, 1.8164, 340.0000, 0.4127, 1, 184, 117
35, 1.5927, 348.0000, 0.4105, 5, 195, 106
33, 1.1461, 320.0000, 0.4082, 14, 209, 92
37, 1.5457, 360.0000, 0.4060, 10, 191, 110
27, 1.7810, 259.0000, 0.4037, 15, 185, 116
27, 1.8084, 270.0000, 0.4015, 0, 163, 138
35, 1.8501, 336.0000, 0.3992, 17, 193, 108
35, 1.7920, 334.0000, 0.3970, 11, 206, 95
34, 1.8302, 334.0000, 0.3947, 25, 214, 87
33, 2.0753, 322.0000, 0.3925, 11, 201, 100
35, 1.9933, 337.0000, 0.3902, 17, 190, 111
33, 2.0875, 320.0000, 0.3880, 19, 193, 108
36, 2.0325, 344.0000, 0.3857, 25, 213, 88
35, 1.9619, 340.0000, 0.3835, 14, 199, 102
39, 1.6274, 387.0000, 0.3812, 9, 204, 97
35, 1.8567, 348.0000, 0.3790, 4, 177, 124
38, 1.9281, 367.0000, 0.3767, 22, 207, 94
33, 1.8327, 324.0000, 0.3745, 12, 200, 101
35, 2.0107, 343.0000, 0.3722, 11, 200, 101
32, 2.0420, 309.0000, 0.3700, 12, 188, 113
35, 1.9128, 343.0000, 0.3677, 10, 199, 102
35, 1.9437, 342.0000, 0.3655, 13, 198, 103
33, 1.8338, 314.0000, 0.3632, 11, 211, 90
31, 1.2326, 318.0000, 0.3610, 6, 212, 89
34, 1.5416, 329.0000, 0.3587, 4, 204, 97
32, 1.8722, 318.0000, 0.3565, 5, 189, 112
34, 1.8157, 336.0000, 0.3542, 20, 202, 99
36, 1.9023, 353.0000, 0.3520, 16, 208, 93
35, 1.8252, 345.0000, 0.3497, 15, 220, 81
37, 1.7966, 362.0000, 0.3475, 13, 214, 87
36, 1.8682, 350.0000, 0.3452, 12, 208, 93
35, 1.8807, 347.0000, 0.3430, 4, 198, 103
31, 1.8628, 306.0000, 0.3407, 4, 188, 113
34, 2.0043, 336.0000, 0.3385, 9, 208, 93
35, 1.9158, 342.0000, 0.3362, 13, 200, 101
37, 1.8408, 366.0000, 0.3340, 6, 204, 97
37, 1.7466, 369.0000, 0.3317, 5, 198, 103
34, 1.6690, 337.0000, 0.3295, 6, 216, 85
35, 1.1228, 350.0000, 0.3272, 0, 179, 122
34, 1.2678, 340.0000, 0.3250, 0, 187, 114
32, 1.7636, 316.0000, 0.3227, 5, 184, 117
33, 1.7586, 322.0000, 0.3205, 9, 200, 101
39, 1.7618, 389.0000, 0.3182, 2, 190, 111
38, 1.7687, 376.0000, 0.3160, 6, 219, 82
36, 1.7261, 358.0000, 0.3137, 5, 209, 92
35, 1.7364, 347.0000, 0.3115, 7, 216, 85
40, 1.7484, 397.0000, 0.3092, 6, 205, 96
38, 1.7352, 379.0000, 0.3070, 4, 186, 115
32, 1.7199, 317.0000, 0.3047, 3, 204, 97
41, 1.2391, 408.0000, 0.3025, 2, 208, 93
35, 1.9463, 345.0000, 0.3002, 12, 216, 85
38, 1.9895, 370.0000, 0.2980, 15, 225, 76
36, 1.7771, 344.0000, 0.2957, 14, 226, 75
35, 1.7500, 344.0000, 0.2935, 12, 213, 88
38, 1.2331, 389.0000, 0.2912, 2, 190, 111
36, 1.9646, 356.0000, 0.2890, 8, 215, 86
31, 2.0141, 295.0000, 0.2867, 23, 201, 100
38, 1.8211, 377.0000, 0.2845, 5, 207, 94
38, 1.8800, 380.0000, 0.2822, 0, 198, 103
36, 1.9546, 351.0000, 0.2800, 15, 200, 101
38, 1.8904, 366.0000, 0.2777, 9, 222, 79
36, 1.9767, 363.0000, 0.2755, 15, 226, 75
34, 1.3565, 339.0000, 0.2732, 7, 219, 82
36, 1.7820, 356.0000, 0.2710, 10, 214, 87
34, 1.7469, 326.0000, 0.2687, 7, 207, 94
37, 1.7736, 378.0000, 0.2665, 2, 201, 100
38, 1.7830, 360.0000, 0.2642, 20, 225, 76
32, 1.7791, 324.0000, 0.2620, 14, 219, 82
38, 1.8523, 364.0000, 0.2597, 13, 224, 77
35, 1.7707, 355.0000, 0.2575, 13, 231, 70
39, 1.6969, 388.0000, 0.2552, 3, 206, 95
36, 1.3449, 358.0000, 0.2530, 2, 193, 108
35, 1.7588, 349.0000, 0.2507, 4, 210, 91
39, 1.7710, 390.0000, 0.2485, 2, 189, 112
40, 1.7707, 395.0000, 0.2462, 9, 226, 75
38, 1.7551, 365.0000, 0.2440, 25, 232, 69
40, 1.7437, 395.0000, 0.2417, 7, 217, 84
34, 1.7427, 324.0000, 0.2395, 9, 203, 98
40, 1.7696, 406.0000, 0.2372, 8, 218, 83
40, 1.5802, 400.0000, 0.2350, 1, 191, 110
38, 1.3529, 374.0000, 0.2327, 9, 195, 106
35, 1.7378, 349.0000, 0.2305, 2, 199, 102
38, 1.8257, 366.0000, 0.2282, 15, 239, 62
39, 1.9347, 389.0000, 0.2260, 15, 228, 73
36, 1.9367, 352.0000, 0.2237, 13, 206, 95
41, 1.7628, 403.0000, 0.2215, 15, 233, 68
41, 1.7646, 404.0000, 0.2192, 13, 220, 81
36, 1.3256, 355.0000, 0.2170, 8, 230, 71
40, 1.1964, 398.0000, 0.2147, 4, 196, 105
40, 1.7479, 395.0000, 0.2125, 9, 213, 88
32, 1.7306, 305.0000, 0.2102, 7, 190, 111
34, 1.7516, 333.0000, 0.2080, 8, 208, 93
36, 1.7495, 364.0000, 0.2057, 10, 211, 90
35, 1.7512, 346.0000, 0.2035, 6, 218, 83
41, 1.2035, 406.0000, 0.2012, 11, 231, 70
41, 1.7341, 394.0000, 0.1990, 12, 226, 75
41, 1.7459, 420.0000, 0.1967, 1, 212, 89
40, 1.7672, 396.0000, 0.1945, 6, 197, 104
39, 1.7862, 387.0000, 0.1922, 4, 219, 82
37, 1.7520, 366.0000, 0.1900, 10, 222, 79
37, 1.7524, 368.0000, 0.1877, 9, 239, 62
39, 1.7587, 374.0000, 0.1855, 12, 227, 74
35, 1.7593, 355.0000, 0.1832, 13, 233, 68
38, 1.4462, 377.0000, 0.1810, 7, 227, 74
37, 1.1860, 367.0000, 0.1787, 10, 228, 73
38, 1.7037, 377.0000, 0.1765, 11, 232, 69
43, 1.7652, 422.0000, 0.1742, 20, 245, 56
40, 1.7718, 387.0000, 0.1720, 10, 249, 52
40, 1.7624, 403.0000, 0.1697, 13, 246, 55
40, 1.7785, 387.0000, 0.1675, 10, 235, 66
38, 1.7487, 376.0000, 0.1652, 6, 212, 89
39, 1.7597, 395.0000, 0.1630, 14, 225, 76
40, 1.7566, 395.0000, 0.1607, 13, 243, 58
36, 1.7488, 357.0000, 0.1585, 10, 228, 73
40, 1.7713, 392.0000, 0.1562, 23, 234, 67
44, 1.7606, 432.0000, 0.1540, 18, 231, 70
41, 1.1274, 396.0000, 0.1517, 27, 240, 61
38, 1.3489, 378.0000, 0.1495, 8, 235, 66
38, 1.7366, 360.0000, 0.1472, 14, 216, 85
36, 1.7819, 356.0000, 0.1450, 10, 236, 65
43, 1.7827, 438.0000, 0.1427, 4, 191, 110
38, 1.8209, 375.0000, 0.1405, 12, 234, 67
37, 1.7516, 362.0000, 0.1382, 14, 227, 74
40, 1.7434, 393.0000, 0.1360, 15, 233, 68
39, 1.7555, 387.0000, 0.1337, 17, 248, 53
36, 1.1762, 345.0000, 0.1315, 17, 249, 52
36, 1.2115, 360.0000, 0.1292, 13, 240, 61
43, 1.7943, 424.0000, 0.1270, 16, 237, 64
37, 1.7704, 361.0000, 0.1247, 20, 245, 56
42, 1.7841, 414.0000, 0.1225, 19, 232, 69
43, 1.7873, 425.0000, 0.1202, 11, 244, 57
39, 1.7494, 383.0000, 0.1180, 16, 238, 63
42, 1.7376, 416.0000, 0.1157, 7, 214, 87
44, 1.7442, 433.0000, 0.1135, 12, 228, 73
40, 1.5925, 395.0000, 0.1112, 9, 228, 73
41, 1.1502, 402.0000, 0.1090, 19, 241, 60
40, 1.4545, 392.0000, 0.1067, 18, 239, 62
38, 1.7891, 374.0000, 0.1045, 18, 241, 60
42, 1.7831, 418.0000, 0.1022, 8, 232, 69
