Score, Time, Reward, Epsilon, Bumps, Steps, Rotations
0, 1.3103, -73.0000, 1.0000, 73, 100, 201
1, 1.3819, -60.0000, 0.9978, 70, 116, 185
2, 1.7646, -45.0000, 0.9955, 65, 103, 198
0, 1.7751, -93.0000, 0.9932, 93, 95, 206
2, 1.8039, -82.0000, 0.9910, 102, 91, 210
0, 1.7604, -90.0000, 0.9888, 90, 87, 214
0, 1.6073, -61.0000, 0.9865, 61, 93, 208
1, 1.1116, -59.0000, 0.9842, 69, 99, 202
1, 1.4069, -61.0000, 0.9820, 71, 110, 191
0, 1.7722, -88.0000, 0.9798, 88, 114, 187
0, 1.7460, -44.0000, 0.9775, 44, 101, 200
1, 1.7423, -36.0000, 0.9752, 46, 102, 199
4, 1.4479, -25.0000, 0.9730, 66, 89, 212
1, 1.1186, -89.0000, 0.9708, 99, 111, 190
2, 1.1021, -52.0000, 0.9685, 72, 100, 201
1, 1.1049, -21.0000, 0.9663, 31, 101, 200
2, 1.1065, -38.0000, 0.9640, 58, 102, 199
2, 1.1287, -28.0000, 0.9617, 48, 100, 201
2, 1.7777, -26.0000, 0.9595, 46, 102, 199
1, 1.7717, -4.0000, 0.9573, 14, 93, 208
1, 1.7926, -40.0000, 0.9550, 50, 96, 205
0, 1.7595, -73.0000, 0.9527, 73, 92, 209
3, 1.4017, -15.0000, 0.9505, 45, 99, 202
5, 1.1136, -5.0000, 0.9483, 55, 101, 200
4, 1.1078, -13.0000, 0.9460, 53, 107, 194
0, 1.6586, -32.0000, 0.9437, 32, 102, 199
5, 1.7373, 1.0000, 0.9415, 49, 107, 194
3, 1.8952, -16.0000, 0.9393, 47, 103, 198
5, 1.8091, -14.0000, 0.9370, 64, 110, 191
3, 1.7748, -10.0000, 0.9347, 40, 116, 185
3, 1.2088, -8.0000, 0.9325, 38, 118, 183
4, 1.9337, 7.0000, 0.9303, 33, 107, 194
2, 1.9206, -9.0000, 0.9280, 29, 107, 194
5, 1.8559, -40.0000, 0.9257, 90, 100, 201
4, 1.9389, -15.0000, 0.9235, 55, 104, 197
4, 1.8688, 7.0000, 0.9213, 33, 103, 198
5, 1.8578, -21.0000, 0.9190, 71, 105, 196
4, 1.4064, 13.0000, 0.9167, 27, 99, 202
2, 1.1378, -18.0000, 0.9145, 38, 95, 206
5, 1.7264, 16.0000, 0.9123, 34, 92, 209
2, 1.7766, -52.0000, 0.9100, 72, 119, 182
2, 1.7582, -22.0000, 0.9077, 42, 103, 198
2, 1.7401, -7.0000, 0.9055, 27, 103, 198
4, 1.7871, 11.0000, 0.9032, 29, 101, 200
2, 1.7626, -53.0000, 0.9010, 73, 91, 210
2, 1.3308, -33.0000, 0.8987, 54, 109, 192
6, 1.1228, 31.0000, 0.8965, 30, 110, 191
4, 1.6884, -13.0000, 0.8942, 53, 105, 196
7, 1.7632, 41.0000, 0.8920, 29, 99, 202
7, 1.7576, 64.0000, 0.8898, 6, 112, 189
7, 1.7653, 40.0000, 0.8875, 31, 110, 191
2, 1.7830, -8.0000, 0.8852, 28, 109, 192
2, 1.7541, -29.0000, 0.8830, 49, 111, 190
6, 1.8056, 26.0000, 0.8808, 34, 110, 191
9, 1.4151, 50.0000, 0.8785, 40, 104, 197
5, 1.1085, 44.0000, 0.8762, 6, 102, 199
6, 1.6399, 18.0000, 0.8740, 43, 98, 203
4, 1.8233, 9.0000, 0.8718, 32, 108, 193
9, 1.8349, 59.0000, 0.8695, 31, 113, 188
8, 1.7519, 44.0000, 0.8672, 36, 121, 180
8, 1.7758, 66.0000, 0.8650, 14, 104, 197
7, 1.7561, 24.0000, 0.8628, 46, 104, 197
10, 1.7573, 77.0000, 0.8605, 24, 108, 193
8, 1.4352, 35.0000, 0.8582, 47, 123, 178
4, 1.1236, 4.0000, 0.8560, 36, 104, 197
8, 1.5866, 48.0000, 0.8538, 22, 108, 193
8, 1.7493, 73.0000, 0.8515, 17, 108, 193
9, 1.7888, 13.0000, 0.8492, 77, 115, 186
11, 1.7694, 80.0000, 0.8470, 31, 107, 194
11, 1.7910, 76.0000, 0.8448, 34, 109, 192
6, 1.3671, 30.0000, 0.8425, 31, 97, 204
8, 1.6138, 53.0000, 0.8402, 27, 123, 178
5, 1.7498, 24.0000, 0.8380, 26, 103, 198
5, 1.7760, 22.0000, 0.8357, 28, 109, 192
14, 1.7849, 115.0000, 0.8335, 25, 106, 195
7, 1.7756, 44.0000, 0.8313, 26, 109, 192
5, 1.7893, 25.0000, 0.8290, 26, 122, 179
8, 1.8122, 69.0000, 0.8267, 13, 119, 182
10, 1.9865, 61.0000, 0.8245, 39, 112, 189
8, 1.2406, 73.0000, 0.8222, 8, 114, 187
9, 1.3557, 52.0000, 0.8200, 38, 120, 181
7, 2.0574, 47.0000, 0.8177, 23, 107, 194
11, 1.7826, 78.0000, 0.8155, 32, 127, 174
10, 1.7831, 78.0000, 0.8133, 22, 107, 194
12, 1.7858, 105.0000, 0.8110, 15, 118, 183
11, 1.8020, 87.0000, 0.8087, 23, 110, 191
10, 1.5279, 95.0000, 0.8065, 5, 115, 186
8, 1.1334, 61.0000, 0.8042, 19, 109, 192
11, 1.4800, 94.0000, 0.8020, 16, 125, 176
10, 1.7769, 90.0000, 0.7997, 12, 117, 184
13, 1.7605, 92.0000, 0.7975, 38, 116, 185
11, 1.7551, 91.0000, 0.7953, 19, 117, 184
9, 1.8012, 80.0000, 0.7930, 10, 104, 197
11, 1.7894, 85.0000, 0.7907, 25, 107, 194
12, 1.7919, 70.0000, 0.7885, 51, 117, 184
13, 1.6473, 122.0000, 0.7863, 8, 121, 180
10, 1.1202, 90.0000, 0.7840, 10, 110, 191
11, 1.4012, 98.0000, 0.7817, 12, 124, 177
15, 1.7718, 121.0000, 0.7795, 30, 113, 188
14, 1.8024, 125.0000, 0.7772, 5, 121, 180
12, 1.7918, 120.0000, 0.7750, 10, 125, 176
9, 1.9716, 44.0000, 0.7727, 46, 112, 189
14, 2.0840, 112.0000, 0.7705, 18, 124, 177
11, 1.9488, 93.0000, 0.7682, 28, 131, 170
10, 1.9002, 96.0000, 0.7660, 5, 116, 185
10, 1.6262, 76.0000, 0.7637, 26, 135, 166
10, 1.3401, 78.0000, 0.7615, 22, 116, 185
15, 1.4095, 144.0000, 0.7592, 6, 115, 186
13, 1.8408, 116.0000, 0.7570, 14, 116, 185
15, 1.8419, 117.0000, 0.7548, 35, 124, 177
12, 1.8408, 94.0000, 0.7525, 27, 136, 165
16, 1.8937, 143.0000, 0.7502, 20, 137, 164
12, 1.8924, 102.0000, 0.7480, 8, 105, 196
18, 1.9127, 182.0000, 0.7457, 9, 118, 183
12, 1.8457, 106.0000, 0.7435, 15, 120, 181
19, 1.4422, 172.0000, 0.7412, 18, 117, 184
18, 1.7784, 160.0000, 0.7390, 23, 138, 163
21, 1.8392, 181.0000, 0.7368, 31, 143, 158
17, 1.8044, 156.0000, 0.7345, 7, 135, 166
16, 1.8008, 132.0000, 0.7322, 38, 131, 170
17, 1.7961, 147.0000, 0.7300, 24, 156, 145
20, 1.9517, 183.0000, 0.7277, 19, 137, 164
