Score, 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
1 
0 
0 
1 
1 
2 
2 
0 
1 
2 
0 
0 
0 
0 
0 
0 
2 
2 
1 
1 
1 
3 
1 
0 
6 
1 
4 
1 
6 
2 
1 
13 
3 
6 
3 
3 
1 
1 
2 
3 
2 
7 
4 
1 
1 
3 
3 
4 
2 
1 
0 
11 
7 
9 
2 
4 
9 
1 
3 
6 
19 
18 
3 
14 
13 
3 
22 
2 
11 
44 
18 
24 
15 
14 
37 
5 
36 
22 
9 
29 
38 
48 
51 
2 
47 
34 
45 
51 
46 
52 
46 
48 
41 
14 
50 
2 
44 
47 
46 
49 
44 
47 
45 
54 
42 
52 
54 
56 
49 
51 
41 
57 
49 
15 
51 
46 
43 
54 
49 
