Score, 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
2 
1 
1 
1 
1 
1 
0 
5 
0 
1 
3 
1 
5 
1 
3 
2 
13 
7 
4 
4 
1 
0 
4 
3 
6 
14 
2 
2 
0 
6 
3 
24 
9 
6 
4 
19 
21 
10 
15 
4 
3 
9 
4 
5 
19 
7 
29 
5 
3 
37 
50 
6 
50 
42 
5 
25 
21 
6 
45 
18 
45 
34 
41 
9 
49 
41 
10 
52 
54 
56 
46 
51 
53 
54 
55 
43 
55 
51 
47 
51 
50 
47 
48 
47 
44 
45 
50 
