Score, Time, Reward, Epsilon
1, 1.0948, -120.3000, 0.6409
0, 1.1247, -280.3000, 0.6364
2, 1.4126, -100.3880, 0.6318
2, 1.3705, -100.3860, 0.6273
2, 1.2712, -120.3250, 0.6227
2, 1.2066, -90.3270, 0.6182
3, 1.0916, -40.3030, 0.6136
2, 1.1507, -20.3010, 0.6091
1, 1.0881, -110.3020, 0.6045
2, 1.2198, -60.3430, 0.6000
2, 1.1387, -220.2750, 0.5955
4, 1.2869, -50.3300, 0.5909
3, 1.1119, -190.2780, 0.5864
5, 1.1840, -80.3000, 0.5818
2, 1.1107, -120.2880, 0.5773
1, 1.2485, -70.3390, 0.5727
6, 1.0910, -60.2910, 0.5682
3, 1.1594, -70.3140, 0.5636
3, 1.0961, -160.2800, 0.5591
3, 1.3035, -20.3460, 0.5545
6, 1.2606, -60.3260, 0.5500
3, 1.2698, -120.3130, 0.5455
4, 1.1294, -100.2910, 0.5409
5, 1.1084, -40.2870, 0.5364
1, 1.4557, -230.3660, 0.5318
5, 1.1201, -50.2930, 0.5273
2, 1.3770, -80.3280, 0.5227
2, 1.5090, -180.3100, 0.5182
2, 1.2196, -20.3040, 0.5136
0, 1.1141, -120.2950, 0.5091
1, 1.2408, -160.2870, 0.5045
0, 1.3068, -110.3010, 0.5000
1, 1.3944, -160.3270, 0.4955
3, 1.4380, -20.3330, 0.4909
2, 1.3104, -150.3000, 0.4864
2, 1.5220, -90.3570, 0.4818
0, 1.4172, -100.3230, 0.4773
2, 1.7816, -60.4100, 0.4727
5, 1.2387, 19.6960, 0.4682
6, 1.5994, -110.4260, 0.4636
7, 1.1191, -40.2910, 0.4591
5, 1.1489, -30.3060, 0.4545
3, 1.2640, -110.2890, 0.4500
2, 1.4666, -90.3190, 0.4455
4, 1.1411, -110.2910, 0.4409
3, 1.7331, -90.3010, 0.4364
1, 1.3332, -70.3070, 0.4318
4, 1.5020, -40.3560, 0.4273
1, 1.3697, -150.2840, 0.4227
3, 1.3866, -0.3130, 0.4182
4, 1.2874, -130.2810, 0.4136
7, 1.3365, -20.2900, 0.4091
5, 1.7792, -60.3710, 0.4045
4, 1.3440, -10.3390, 0.4000
4, 1.2517, -30.3080, 0.3955
5, 1.5176, 19.6700, 0.3909
9, 1.1363, 49.6980, 0.3864
2, 1.1787, -60.3030, 0.3818
3, 1.1520, -10.3110, 0.3773
3, 1.2062, -60.2950, 0.3727
2, 1.2254, -100.3040, 0.3682
1, 1.2043, -120.2910, 0.3636
9, 1.0825, 39.7130, 0.3591
3, 1.1200, -110.2940, 0.3545
5, 1.2902, -60.3010, 0.3500
4, 1.0938, -10.2920, 0.3455
4, 1.3589, -70.3210, 0.3409
0, 1.2441, -120.3180, 0.3364
6, 1.2009, -20.2980, 0.3318
10, 1.5541, -20.3820, 0.3273
2, 1.3047, -10.3290, 0.3227
11, 1.2372, -0.2830, 0.3182
6, 1.6224, 19.6430, 0.3136
11, 1.2473, 39.7090, 0.3091
16, 1.1530, 149.7110, 0.3045
6, 1.0997, 9.7010, 0.3000
6, 1.2810, -0.3030, 0.2955
8, 1.2400, 39.6940, 0.2909
9, 1.1849, 59.7040, 0.2864
16, 1.1801, 119.7130, 0.2818
15, 1.2001, 139.7060, 0.2773
16, 1.1204, 129.7160, 0.2727
12, 1.2309, 79.7060, 0.2682
11, 1.1087, 69.7130, 0.2636
8, 1.2722, 19.6980, 0.2591
8, 1.1315, 69.7060, 0.2545
7, 1.2408, 9.7120, 0.2500
12, 1.1792, 59.7110, 0.2455
12, 1.1074, 49.7090, 0.2409
15, 1.1771, 39.7170, 0.2364
18, 1.3411, 139.6890, 0.2318
15, 1.1582, 99.7100, 0.2273
10, 1.2372, 39.6710, 0.2227
14, 1.1324, 79.7060, 0.2182
2, 1.2700, -30.3100, 0.2136
11, 1.6661, 69.6410, 0.2091
12, 1.2303, 89.7090, 0.2045
16, 1.2618, 149.7130, 0.2000
14, 1.1872, 129.7090, 0.1955
11, 1.3336, 89.7070, 0.1909
11, 1.1905, 29.7110, 0.1864
8, 1.3568, 29.6730, 0.1818
11, 1.3510, 59.6990, 0.1773
16, 1.3256, 139.7020, 0.1727
10, 1.4458, 79.6920, 0.1682
19, 1.2540, 169.7180, 0.1636
17, 1.2124, 149.7120, 0.1591
12, 1.2051, 49.7150, 0.1545
12, 1.0901, 59.7160, 0.1500
16, 1.2885, 149.6930, 0.1455
12, 1.1240, 59.7090, 0.1409
22, 1.2499, 209.7110, 0.1364
17, 1.2480, 129.7110, 0.1318
17, 1.3228, 159.7020, 0.1273
17, 1.4207, 129.7140, 0.1227
16, 1.3005, 139.7110, 0.1182
25, 1.1058, 239.7170, 0.1136
29, 1.1386, 279.7170, 0.1091
16, 1.1828, 149.7160, 0.1045
15, 1.2006, 129.7110, 0.1000
17, 1.2109, 149.6950, 0.0955
28, 1.3260, 249.7150, 0.0909
22, 1.1804, 179.7240, 0.0864
24, 1.1235, 229.7210, 0.0818
21, 1.3196, 169.7210, 0.0773
25, 1.3316, 229.7150, 0.0727
22, 1.2271, 209.7150, 0.0682
27, 1.4300, 249.7210, 0.0636
20, 1.1839, 199.7170, 0.0591
25, 1.4118, 249.7200, 0.0545
26, 1.2418, 229.7270, 0.0500
23, 1.1642, 209.7190, 0.0455
28, 1.2467, 279.7180, 0.0409
31, 1.2308, 309.7120, 0.0364
25, 1.1438, 199.7260, 0.0318
22, 1.2794, 219.6960, 0.0273
32, 1.1195, 319.7270, 0.0227
23, 1.2296, 209.7180, 0.0182
27, 1.5018, 269.7210, 0.0136
25, 1.1514, 249.7190, 0.0100
185, 52.0995, 0.0000, 0.0100
