Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
16,1.6224,128,0.4555,9,143,158,0.64563396
13,1.5091,102,0.451,7,175,126,0.52055094
13,1.6189,86,0.4465,13,178,123,0.58307104
13,1.6559,50,0.442,20,131,170,0.67452215
17,1.6243,146,0.4375,6,150,151,0.70314284
15,1.6844,102,0.433,12,159,142,0.6555182
14,1.6031,108,0.4285,8,153,148,0.57376115
15,1.6591,134,0.424,4,147,154,0.64861394
15,1.5686,150,0.4195,0,140,161,0.53829102
15,1.7103,150,0.415,0,98,203,0.61381338
14,1.6896,140,0.4105,0,182,119,0.57237191
15,1.6102,130,0.406,5,155,146,0.58666027
14,1.6018,140,0.4015,0,129,172,0.47987571
21,1.6441,206,0.397,2,137,164,0.96696027
17,1.6182,170,0.3925,0,110,191,0.59968701
19,1.668,170,0.388,5,174,127,0.64891588
21,1.6129,194,0.3835,4,175,126,0.67457224
21,1.6667,194,0.379,5,183,118,0.68397719
11,1.6011,94,0.3745,4,151,150,0.47255794
18,1.6772,156,0.37,7,138,163,0.66184141
11,1.6015,86,0.3655,6,139,162,0.52174547
13,1.5085,106,0.361,7,189,112,0.52532603
22,1.6638,220,0.3565,0,193,108,0.74948532
19,1.6859,190,0.352,0,166,135,0.66027087
20,1.6773,184,0.3475,4,161,140,0.72532521
22,1.6936,176,0.343,11,150,151,0.7894265
22,1.406,180,0.3385,11,185,116,0.81778136
20,1.4848,192,0.334,2,193,108,0.68945978
15,1.5555,130,0.3295,5,195,106,0.58844227
26,1.7601,260,0.325,1,177,124,0.68416278
23,1.7343,230,0.3205,0,156,145,0.66438529
22,1.5695,204,0.316,5,167,134,0.64325078
25,1.6826,242,0.3115,3,218,83,0.78759262
21,1.6637,154,0.307,14,169,132,0.86151834
19,1.676,170,0.3025,5,171,130,0.64147477
19,1.6488,190,0.298,0,163,138,0.59480158
19,1.6801,190,0.2935,0,133,168,0.59078659
22,1.6478,220,0.289,0,171,130,0.60349449
26,1.6148,242,0.2845,2,172,129,0.70455944
23,1.6555,240,0.28,0,140,161,0.72931433
20,1.722,180,0.2755,5,128,173,0.627975
18,1.6292,164,0.271,4,161,140,0.63862383
22,1.653,220,0.2665,0,191,110,0.63760418
26,1.4296,252,0.262,2,165,136,0.77752366
26,1.5985,260,0.2575,0,191,110,0.74626975
28,1.6096,280,0.253,0,191,110,0.79568276
23,1.5608,230,0.2485,0,189,112,0.6991399
22,1.6719,220,0.244,0,184,117,0.59824896
26,1.6692,250,0.2395,0,181,120,0.63991441
21,1.6678,220,0.235,0,170,131,0.60821241
22,1.7415,220,0.2305,0,180,121,0.61542476
25,1.6766,242,0.226,2,168,133,0.61355688
21,1.6328,210,0.2215,0,148,153,0.5652571
17,1.3557,150,0.217,5,149,152,0.60237921
27,1.671,226,0.2125,11,197,104,0.90264708
24,1.5846,240,0.208,0,155,146,0.61215144
27,1.6502,262,0.2035,2,157,144,0.73307068
16,1.6553,160,0.199,0,168,133,0.53896183
25,1.618,242,0.1945,2,156,145,0.59644176
23,1.7058,222,0.19,2,185,116,0.57483371
25,1.6927,250,0.1855,0,189,112,0.68725709
19,1.721,190,0.181,0,154,147,0.59262875
18,1.584,172,0.1765,2,186,115,0.55572897
31,1.6886,310,0.172,0,158,143,0.7997673
23,1.6824,222,0.1675,3,131,170,0.73784333
16,1.622,160,0.163,0,159,142,0.44472327
22,1.7144,220,0.1585,0,168,133,0.54614806
28,1.7049,254,0.154,4,194,107,0.68617021
24,1.5606,250,0.1495,0,169,132,0.69699907
19,1.6564,190,0.145,0,167,134,0.60222727
26,1.7423,260,0.1405,0,191,110,0.62977973
26,1.6783,252,0.136,2,179,122,0.82172198
24,1.672,240,0.1315,0,180,121,0.66131243
26,1.6033,260,0.127,0,174,127,0.61582684
23,1.6768,230,0.1225,0,187,114,0.61004758
29,1.6516,282,0.118,2,181,120,0.7069398
22,1.6843,212,0.1135,2,171,130,0.66386144
32,1.7056,320,0.109,0,173,128,0.69097855
20,1.5079,200,0.1045,0,179,122,0.5606233
28,7.7001,280,0.1,0,169,132,0.41578706
30,7.5432,300,0.1,0,167,134,0.60564438
