Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
7,1.9904,50,0.7322,5,113,188,0.17483678
8,1.9633,44,0.73,9,132,169,0.31085187
3,1.9684,-106,0.7277,34,113,188,0.36945724
8,1.9685,-32,0.7255,28,128,173,0.37162873
4,1.9545,-52,0.7232,23,106,195,0.29428559
6,1.9625,-8,0.721,17,102,199,0.35264728
6,1.2948,28,0.7188,9,104,197,0.22077362
9,1.5438,-114,0.7165,51,108,193,0.53390254
5,1.9906,-26,0.7142,19,109,192,0.30561235
4,1.971,-16,0.712,15,89,212,0.20800494
4,1.958,24,0.7097,4,113,188,0.25972714
10,1.9605,100,0.7075,0,99,202,0.29737637
1,1.755,-62,0.7052,18,129,172,0.18650029
9,1.258,42,0.703,14,142,159,0.39323572
0,1.7377,-32,0.7007,8,86,215,0.07368556
7,2.0477,-2,0.6985,19,84,217,0.32635369
5,1.9882,-14,0.6963,16,117,184,0.22145555
8,1.9678,12,0.694,17,128,173,0.39944191
11,2.1343,-34,0.6917,36,118,183,0.55565025
6,2.0276,16,0.6895,11,96,205,0.25262214
11,2.2842,82,0.6872,7,106,195,0.40991093
5,2.2663,-2,0.685,13,151,150,0.23239205
7,2.1704,-22,0.6827,23,126,175,0.34097399
5,1.637,18,0.6805,8,95,206,0.21212849
5,1.9797,-126,0.6783,44,119,182,0.37340987
11,2.0778,10,0.676,26,130,171,0.61187828
10,2.1039,12,0.6737,23,133,168,0.42992832
11,2.0454,74,0.6715,11,126,175,0.31021252
7,2.167,22,0.6692,13,112,189,0.28690965
14,2.1286,132,0.667,3,145,156,0.38047152
8,2.128,68,0.6647,3,126,175,0.3199261
13,2.1095,82,0.6625,13,110,191,0.66830039
15,2.1914,42,0.6603,27,143,158,0.617461
6,2.1404,-148,0.658,53,110,191,0.55256555
11,2.1769,78,0.6557,8,139,162,0.36361771
15,2.0929,90,0.6535,17,127,174,0.57548935
12,2.0669,112,0.6512,3,130,171,0.47226779
16,1.4397,132,0.649,8,142,159,0.45766324
11,1.5592,2,0.6467,27,138,163,0.4463017
11,2.1043,-34,0.6445,38,123,178,0.54933493
10,2.1355,28,0.6422,19,131,170,0.40392892
11,2.169,82,0.64,7,121,180,0.28402223
18,2.0778,176,0.6378,2,142,159,0.4458842
9,2.1082,38,0.6355,14,115,186,0.42051916
13,2.0029,90,0.6332,10,119,182,0.37805681
18,1.4213,88,0.631,23,146,155,0.52343776
13,1.9287,102,0.6287,9,133,168,0.45515466
13,2.07,122,0.6265,3,147,154,0.34081635
13,2.2621,90,0.6242,11,132,169,0.36587829
8,2.3119,60,0.622,6,133,168,0.23931664
11,2.1218,62,0.6198,12,130,171,0.32330292
14,2.0982,88,0.6175,13,131,170,0.54940004
10,2.2062,44,0.6152,15,128,173,0.35838529
12,2.2394,112,0.613,3,104,197,0.3966904
16,2.1265,116,0.6107,12,140,161,0.41724605
5,1.9495,-6,0.6085,14,127,174,0.21118139
13,1.9517,78,0.6062,13,141,160,0.37194904
10,1.9591,92,0.604,2,121,180,0.56717906
10,1.9691,72,0.6018,8,127,174,0.45005077
22,1.7203,180,0.5995,10,153,148,0.5857507
10,1.2312,76,0.5972,6,151,150,0.31633696
13,1.7334,86,0.595,13,153,148,0.40163763
13,1.958,78,0.5927,13,149,152,0.43227886
15,1.991,90,0.5905,16,152,149,0.41381749
15,2.0054,138,0.5882,4,129,172,0.4050371
18,2.0049,136,0.586,13,166,135,0.52099989
15,1.9509,114,0.5837,9,160,141,0.40578511
15,2.0157,142,0.5815,3,170,131,0.33973579
18,1.9371,112,0.5792,18,167,134,0.46871119
12,1.9285,36,0.577,21,158,143,0.41271228
18,1.9289,160,0.5747,5,146,155,0.46652539
12,1.9449,96,0.5725,6,123,178,0.31450201
20,1.6244,160,0.5702,11,154,147,0.48230315
18,1.2661,124,0.568,15,132,169,0.56967374
13,1.8409,74,0.5657,14,149,152,0.36303848
19,1.9661,154,0.5635,9,170,131,0.44876998
