Score, 
9, 0.0563, 69.0000
1, 0.0037, -4.1000
11, 0.0762, 85.7000
0, 0.0011, -14.0000
41, 0.1932, 369.7000
6, 0.0321, 42.1000
37, 0.1643, 333.7000
2, 0.0114, 4.2000
38, 0.1722, 343.6000
16, 0.0611, 137.9000
2, 0.0091, 4.1000
0, 0.0011, -14.8000
195, 0.9354, 1807.2000
23, 0.1328, 197.1000
22, 0.1375, 186.0000
34, 0.1676, 302.6000
11, 0.0464, 88.7000
36, 0.1302, 320.5000
40, 0.1935, 359.5000
41, 0.1803, 370.4000
17, 0.0843, 144.0000
40, 0.2215, 353.9000
73, 0.3320, 670.8000
17, 0.0979, 141.4000
4, 0.0185, 21.8000
165, 0.8254, 1533.0000
27, 0.1130, 234.3000
11, 0.0592, 86.2000
15, 0.0812, 123.0000
92, 0.4392, 844.6000
54, 0.2521, 489.7000
55, 0.2557, 499.5000
19, 0.1263, 156.0000
44, 0.2146, 394.7000
3, 0.0170, 10.8000
8, 0.0510, 56.6000
45, 0.2287, 405.4000
119, 0.5772, 1096.2000
22, 0.1011, 190.3000
28, 0.1383, 244.0000
13, 0.0674, 103.8000
44, 0.2089, 394.8000
3, 0.0203, 9.5000
43, 0.2196, 382.7000
7, 0.0207, 48.3000
3, 0.0171, 9.7000
31, 0.1421, 273.3000
62, 0.2395, 570.9000
13, 0.0719, 102.2000
37, 0.1994, 325.4000
13, 0.0542, 104.8000
52, 0.2516, 467.2000
20, 0.1187, 166.3000
59, 0.3123, 530.4000
7, 0.0349, 46.4000
28, 0.1283, 241.5000
63, 0.3013, 570.0000
31, 0.1431, 272.7000
14, 0.0810, 109.4000
21, 0.0982, 177.3000
28, 0.1281, 243.5000
30, 0.1442, 261.4000
17, 0.0782, 139.9000
25, 0.1278, 213.0000
11, 2.0560, 0
14, 2.3570, 0
77, 14.0945, 0
1, 0.4009, 0
9, 1.8590, 0
9, 1.9030, 0
