1,1.3241,-222,1.0,58,101,200,0.83351254
0,1.3223,-528,0.9978,132,101,200,0.94143565
1,1.3552,-390,0.9955,100,101,200,0.9021487
1,1.6455,-222,0.9932,59,102,199,0.56960482
0,1.3525,-124,0.991,31,94,207,0.35647278
2,1.338,-184,0.9888,51,108,193,0.41826131
1,1.2772,-318,0.9865,82,95,206,0.69785156
2,1.2045,-228,0.9842,62,96,205,0.45289435
2,1.2441,-276,0.982,74,85,216,0.5741208
2,1.2567,-116,0.9798,34,104,197,0.2986034
2,2.0196,-200,0.9775,55,106,195,0.39685001
0,1.9652,-236,0.9752,59,103,198,0.35889778
2,2.2228,-252,0.973,68,108,193,0.45011423
2,2.0746,-304,0.9708,81,97,204,0.53783248
4,1.9304,-152,0.9685,48,109,192,0.42039289
2,1.2383,-184,0.9663,52,94,207,0.44597237
4,1.2409,-272,0.964,79,93,208,0.54388832
0,1.1897,-88,0.9617,22,100,201,0.21123735
0,1.2098,-212,0.9595,53,85,216,0.35335172
2,1.8571,-116,0.9573,34,87,214,0.32690332
2,1.9965,-164,0.955,46,101,200,0.34582958
2,1.9547,-108,0.9527,32,99,202,0.26273009
2,1.6807,-228,0.9505,63,117,184,0.39475384
2,1.3001,-172,0.9483,48,111,190,0.32454418
3,1.8073,-214,0.946,61,88,213,0.5017324
2,1.9807,-28,0.9437,12,85,216,0.19363354
1,1.9861,-154,0.9415,41,98,203,0.28250956
4,1.9399,-104,0.9393,36,102,199,0.3303094
4,1.7879,-144,0.937,46,108,193,0.40190941
3,1.2098,-190,0.9347,55,110,191,0.43484523
3,1.2641,-194,0.9325,56,106,195,0.43110272
3,1.774,-114,0.9303,36,94,207,0.31655815
2,1.9941,-92,0.928,28,96,205,0.20192971
4,1.9594,-52,0.9257,23,95,206,0.29436516
2,2.041,-192,0.9235,55,98,203,0.42049251
2,1.7374,-144,0.9213,41,110,191,0.26946224
1,1.2285,-238,0.919,62,100,201,0.4791853
2,1.191,-124,0.9167,36,107,194,0.30817071
2,1.3059,-48,0.9145,18,100,201,0.18449789
7,1.9626,-98,0.9123,43,109,192,0.48405233
2,2.0091,-112,0.91,33,111,190,0.27863022
4,1.9554,-132,0.9077,44,112,189,0.36788002
5,1.9131,-74,0.9055,31,102,199,0.36589333
8,1.3925,-44,0.9032,31,101,200,0.45016666
4,1.9319,-48,0.901,22,100,201,0.29882674
6,1.9936,-112,0.8987,43,106,195,0.43871701
3,2.0704,-138,0.8965,42,104,197,0.34990897
4,2.0307,-20,0.8942,16,97,204,0.23320076
5,2.0063,-78,0.892,33,125,176,0.34358478
7,1.8166,-94,0.8898,42,108,193,0.4467208
2,1.1932,-104,0.8875,32,104,197,0.3605544
7,1.1925,-106,0.8852,46,118,183,0.55447294
5,1.2142,-98,0.883,37,108,193,0.44617892
4,1.2116,-20,0.8808,16,96,205,0.29338562
7,1.8374,-62,0.8785,36,109,192,0.46707825
8,1.8653,-108,0.8762,47,103,198,0.54564566
5,1.9475,-114,0.874,41,103,198,0.47865576
10,1.9721,36,0.8718,17,107,194,0.57032468
7,1.8034,-98,0.8695,42,110,191,0.53346005
6,1.6027,-60,0.8672,32,106,195,0.4015538
6,1.911,-12,0.865,18,98,203,0.35105333
4,2.048,-156,0.8628,49,98,203,0.44782096
6,2.1382,-22,0.8605,18,94,207,0.37240611
7,2.0899,22,0.8582,12,111,190,0.32131618
3,2.1248,-108,0.856,37,112,189,0.45122263
13,1.5752,58,0.8538,19,104,197,0.50229383
0,1.3529,-76,0.8515,19,108,193,0.25744209
8,1.9274,-36,0.8492,30,120,181,0.38777734
8,1.9092,12,0.847,19,96,205,0.48044055
8,1.9437,-12,0.8448,23,116,185,0.45020888
10,1.8762,8,0.8425,23,102,199,0.61259569
7,1.9365,26,0.8402,11,108,193,0.48781445
8,2.0234,-52,0.838,33,101,200,0.57131957
8,1.7571,-28,0.8357,27,106,195,0.46721649
5,1.2927,-78,0.8335,34,109,192,0.38525768
11,1.3188,42,0.8313,18,104,197,0.48956581
8,1.9601,-64,0.829,36,88,213,0.47546041
9,1.9741,-34,0.8267,32,115,186,0.49423259
11,2.1013,28,0.8245,18,109,192,0.53056049
8,2.3742,26,0.8222,16,105,196,0.54231248
8,1.6994,8,0.82,19,114,187,0.31940682
12,1.4873,32,0.8177,22,116,185,0.4513726
10,1.4414,-32,0.8155,33,125,176,0.45894722
11,2.1201,90,0.8133,5,99,202,0.47345688
10,1.9661,56,0.811,11,116,185,0.45762632
6,1.9273,-24,0.8087,21,100,201,0.44035958
12,1.9109,60,0.8065,17,119,182,0.49395561
10,1.8631,28,0.8042,19,96,205,0.40472535
10,1.8723,76,0.802,7,129,172,0.38936874
14,1.2299,-8,0.7997,37,128,173,0.64369532
11,1.3231,-14,0.7975,32,114,187,0.55582179
14,1.8719,100,0.7953,11,118,183,0.47116468
14,1.895,92,0.793,13,111,190,0.60598633
8,1.8537,80,0.7907,0,108,193,0.31207853
15,1.8715,52,0.7885,23,122,179,0.46496314
8,1.9554,42,0.7863,14,120,181,0.32052121
10,2.3596,44,0.784,14,108,193,0.45753597
8,2.1557,28,0.7817,13,109,192,0.32466701
13,1.5359,22,0.7795,28,125,176,0.4808597
15,1.9606,82,0.7772,17,130,171,0.49052747
16,2.0063,108,0.775,13,135,166,0.42890431
14,1.9905,32,0.7727,27,132,169,0.53739227
11,2.2998,50,0.7705,17,122,179,0.3489859
11,2.1202,-18,0.7682,32,128,173,0.4503027
11,1.883,38,0.766,19,116,185,0.47689848
17,1.2223,150,0.7637,5,122,179,0.41973618
18,1.5515,96,0.7615,24,125,176,0.55303358
11,1.9166,30,0.7592,20,109,192,0.46585995
15,1.9011,102,0.757,14,141,160,0.5076954
10,2.0329,0,0.7548,25,122,179,0.41224408
11,1.3944,54,0.7525,15,119,182,0.40337628
17,1.4974,82,0.7502,22,130,171,0.62948258
14,1.9709,80,0.748,15,125,176,0.47826246
13,1.9653,66,0.7457,17,123,178,0.4746043
19,1.9736,166,0.7435,8,121,180,0.48838448
16,1.9937,116,0.7412,12,120,181,0.46998465
11,1.4134,66,0.739,11,115,186,0.36544145
17,1.2327,146,0.7368,6,131,170,0.47046399
12,1.3697,24,0.7345,26,118,183,0.45389368
