Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
23,1.8489,202,0.451,7,171,130,0.57703873
25,1.7974,246,0.4465,2,167,134,0.67886363
24,2.0935,208,0.442,8,205,96,0.66804117
15,1.8255,114,0.4375,9,165,136,0.42654729
32,1.8089,312,0.433,2,219,82,0.67853242
30,1.8051,296,0.4285,2,187,114,0.80803728
19,1.7844,170,0.424,5,194,107,0.56650648
19,1.8053,160,0.4195,5,201,100,0.45160228
28,1.8031,270,0.415,6,204,97,0.57511915
30,1.5269,288,0.4105,3,186,115,0.59607871
22,1.8966,212,0.406,2,190,111,0.5345419
26,1.8426,240,0.4015,5,173,128,0.51977698
20,1.8103,180,0.397,5,183,118,0.51598722
24,1.7768,200,0.3925,13,191,110,0.51845563
26,1.8023,216,0.388,11,198,103,0.53860338
22,1.7714,208,0.3835,5,218,83,0.44081385
26,1.7845,252,0.379,2,204,97,0.50899729
20,1.7925,180,0.3745,6,168,133,0.47914685
21,1.8201,170,0.37,11,171,130,0.51141603
29,1.7969,290,0.3655,0,191,110,0.67406655
13,1.8019,130,0.361,0,185,116,0.34305811
31,1.794,300,0.3565,0,184,117,0.63287967
28,1.9266,286,0.352,2,184,117,0.61427302
30,1.4325,290,0.3475,1,202,99,0.72250224
26,1.1417,244,0.343,4,187,114,0.63787483
22,1.6127,202,0.3385,7,209,92,0.59128992
29,1.8189,262,0.334,10,221,80,0.6888214
32,1.7784,280,0.3295,12,199,102,0.72361423
25,1.7773,238,0.325,5,226,75,0.53896155
33,1.781,318,0.3205,4,211,90,0.60507591
31,1.7807,310,0.316,0,201,100,0.67690313
26,1.785,244,0.3115,4,209,92,0.53325196
28,1.5529,280,0.307,0,214,87,0.5236544
25,1.1678,250,0.3025,0,201,100,0.54119874
33,1.5778,322,0.298,2,212,89,0.70814076
27,1.7886,270,0.2935,0,196,105,0.61858043
31,1.7766,274,0.289,9,207,94,0.656707
21,1.7995,190,0.2845,5,200,101,0.55756779
30,1.7682,300,0.28,0,201,100,0.57227182
23,1.7559,222,0.2755,2,195,106,0.43650951
28,1.8283,280,0.271,0,201,100,0.54476498
29,2.2063,280,0.2665,0,206,95,0.65667701
33,2.4558,328,0.262,3,218,83,0.71263384
29,2.1728,272,0.2575,2,217,84,0.5917015
29,2.3233,290,0.253,0,210,91,0.63656044
26,2.002,262,0.2485,2,196,105,0.63789003
35,1.8537,350,0.244,0,201,100,0.68111962
32,1.7998,320,0.2395,0,199,102,0.66126706
32,1.7936,304,0.235,5,203,98,0.54518849
34,1.7977,336,0.2305,2,214,87,0.6733875
28,1.782,272,0.226,2,220,81,0.6571645
29,1.7822,290,0.2215,1,177,124,0.54997608
32,1.7757,312,0.217,2,203,98,0.62566862
30,1.792,300,0.2125,0,215,86,0.51918665
28,1.7716,280,0.208,0,195,106,0.4686598
31,1.7835,310,0.2035,0,196,105,0.58548096
28,1.7968,272,0.199,2,210,91,0.66388374
30,1.7738,300,0.1945,0,209,92,0.52605097
34,1.8161,340,0.19,1,227,74,0.66472607
34,1.8096,340,0.1855,0,221,80,0.65401585
33,1.5535,322,0.181,2,224,77,0.64661101
35,1.1543,350,0.1765,0,216,85,0.64092772
28,1.5632,280,0.172,0,231,70,0.5391406
30,1.7849,300,0.1675,0,236,65,0.59056857
30,1.8144,300,0.163,0,203,98,0.66550091
37,1.7868,370,0.1585,0,211,90,0.80678444
36,1.7631,360,0.154,0,244,57,0.63742331
37,1.7596,370,0.1495,3,244,57,0.70647004
32,1.7761,320,0.145,1,232,69,0.66726946
33,1.7646,330,0.1405,0,200,101,0.63383476
37,1.6484,360,0.136,1,225,76,0.69618454
36,1.2994,370,0.1315,0,216,85,0.62107469
36,1.7689,360,0.127,0,223,78,0.68773836
35,1.7615,350,0.1225,0,209,92,0.63398075
41,1.7707,410,0.118,0,231,70,0.6889365
25,1.7525,250,0.1135,0,222,79,0.57394308
32,1.6835,320,0.109,0,214,87,0.55739606
35,1.147,350,0.1045,0,205,96,0.63630482
