Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
5,1.162,38,0.73,2,117,184,0.04431196
0,1.1747,-2,0.7277,12,99,202,0.01750323
3,1.1419,9,0.7255,21,122,179,0.04446098
0,1.1497,-11,0.7232,11,125,176,0.00698495
0,1.1429,-8,0.721,8,92,209,0.00444486
4,1.1386,27,0.7188,13,107,194,0.04736279
4,1.1466,25,0.7165,16,110,191,0.05040453
3,1.1652,24,0.7142,6,90,211,0.03611775
2,1.1447,17,0.712,3,121,180,0.02447294
1,1.1553,6,0.7097,4,116,185,0.01279217
2,1.2713,16,0.7075,4,92,209,0.02300961
0,1.2256,-16,0.7052,16,125,176,0.01000571
3,1.234,23,0.703,7,96,205,0.03501899
0,1.214,-8,0.7007,8,133,168,0.00394992
2,1.1893,16,0.6985,4,134,167,0.02313835
1,1.1965,-6,0.6963,16,129,172,0.01685668
1,1.2233,3,0.694,7,103,198,0.01405864
2,1.2019,0,0.6917,20,108,193,0.02999309
4,1.2004,22,0.6895,18,84,217,0.05033653
2,1.2319,20,0.6872,0,99,202,0.02165615
4,1.2102,-2,0.685,42,140,161,0.06304179
4,1.2242,24,0.6827,16,143,158,0.0492615
5,1.2128,45,0.6805,5,131,170,0.05695572
1,1.1831,-20,0.6783,30,143,158,0.02365244
7,1.1665,65,0.676,5,141,160,0.07737344
1,1.1875,7,0.6737,3,114,187,0.01391719
7,1.2052,57,0.6715,13,145,156,0.07907846
5,1.1832,22,0.6692,28,121,180,0.06737381
3,1.1899,8,0.667,22,153,148,0.0423084
0,1.1822,-7,0.6647,7,147,154,0.00343181
3,1.2163,30,0.6625,0,112,189,0.03291679
2,1.1819,-1,0.6603,21,158,143,0.03070705
5,1.2436,46,0.658,4,134,167,0.0554414
1,1.2769,1,0.6557,9,127,174,0.01616524
6,1.1785,56,0.6535,4,138,163,0.06555014
6,1.2723,45,0.6512,15,140,161,0.07010915
2,1.271,7,0.649,14,129,172,0.03073818
6,1.254,57,0.6467,3,130,171,0.06602892
3,1.1439,0,0.6445,30,132,169,0.04730561
4,1.1514,20,0.6422,20,156,145,0.0550119
