Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
1,2.0445,-370,1.0,96,107,194,1.0428543
3,2.0343,-254,0.991,71,93,208,0.90745606
0,1.8911,-428,0.982,107,103,198,1.02324995
4,1.836,-192,0.973,58,112,189,0.64801584
1,1.9463,-150,0.964,40,95,206,0.43100545
2,1.4543,-344,0.955,91,99,202,0.88825477
4,1.4316,-176,0.946,55,120,181,0.61509049
0,1.7226,-160,0.937,40,102,199,0.38198671
1,1.6854,-278,0.928,72,95,206,0.65207891
5,1.6863,-122,0.919,43,95,206,0.61657771
2,1.6588,-16,0.91,9,87,214,0.11741371
1,1.5804,-110,0.901,30,95,206,0.30828602
3,1.5546,-162,0.892,48,108,193,0.54174928
1,1.5353,-90,0.883,25,106,195,0.19494929
2,1.5088,-112,0.874,33,86,215,0.32535316
1,1.0061,-94,0.865,26,108,193,0.3025133
8,0.9746,-92,0.856,43,125,176,0.51910147
3,0.9922,-90,0.847,30,101,200,0.33733296
5,1.4837,-134,0.838,46,110,191,0.56726706
4,1.567,-48,0.829,22,96,205,0.32541682
5,1.6718,-6,0.82,14,106,195,0.24159764
3,1.7131,-82,0.811,28,108,193,0.30427742
6,1.6636,-32,0.802,23,95,206,0.37977118
4,1.6666,-36,0.793,19,100,201,0.26007676
0,1.3016,-76,0.784,19,100,201,0.16637492
3,1.142,-22,0.775,13,106,195,0.19962866
4,1.624,-76,0.766,29,109,192,0.33435667
7,1.5601,48,0.757,3,103,198,0.25844709
3,1.5129,-40,0.748,20,108,193,0.28074323
3,1.5184,-66,0.739,24,105,196,0.32224329
8,1.5597,-32,0.73,29,126,175,0.45811092
3,1.5621,-50,0.721,22,102,199,0.28695121
4,1.5574,-44,0.712,21,93,208,0.29701397
6,1.5783,24,0.703,10,114,187,0.24880501
5,1.6069,-54,0.694,26,109,192,0.39511771
10,1.5729,40,0.685,15,128,173,0.38041294
11,1.2582,94,0.676,4,124,177,0.37167157
10,1.1495,44,0.667,14,108,193,0.42387245
9,1.6313,34,0.658,15,87,214,0.39496812
7,1.6684,62,0.649,2,96,205,0.20098166
5,1.5942,26,0.64,6,107,194,0.21061274
5,1.5575,-30,0.631,21,94,207,0.37753965
4,1.5452,-4,0.622,11,103,198,0.17362823
11,1.5895,38,0.613,18,131,170,0.48194616
10,1.6118,56,0.604,11,99,202,0.35960776
10,1.3605,56,0.595,11,108,193,0.34870656
9,1.4197,78,0.586,3,119,182,0.25286861
10,1.6227,88,0.577,3,123,178,0.33633299
7,1.5266,50,0.568,5,129,172,0.22557197
11,1.532,90,0.559,5,122,179,0.33402313
15,1.5083,74,0.55,21,131,170,0.60017552
5,1.5267,50,0.541,0,110,191,0.17599799
9,1.1262,58,0.532,8,120,181,0.29119089
0,1.0411,-12,0.523,3,90,211,0.04108633
18,1.4085,164,0.514,4,166,135,0.49127216
11,1.5266,94,0.505,5,143,158,0.32763075
15,1.5082,134,0.496,4,158,143,0.420207
13,1.5626,54,0.487,19,157,144,0.57744385
14,1.5256,124,0.478,5,183,118,0.37437473
8,1.6524,70,0.469,0,146,155,0.22229261
17,1.7994,168,0.46,3,144,157,0.47810477
15,1.5767,150,0.451,0,145,156,0.38581209
13,1.5101,130,0.442,0,134,167,0.32100075
18,1.6103,180,0.433,0,142,159,0.46885702
23,1.6944,218,0.424,4,174,127,0.53381843
20,1.6498,184,0.415,5,178,123,0.53478899
17,1.5796,122,0.406,12,140,161,0.47535767
23,1.5486,230,0.397,0,154,147,0.50028058
19,1.0344,142,0.388,12,153,148,0.59474457
25,1.5411,242,0.379,2,166,135,0.57402085
15,1.7743,142,0.37,2,147,154,0.41239491
23,1.608,214,0.361,5,197,104,0.54304425
23,1.6195,230,0.352,0,181,120,0.49084354
19,1.5659,190,0.343,0,173,128,0.42015451
15,1.5283,130,0.334,5,156,145,0.41138306
24,1.5551,240,0.325,0,178,123,0.49411351
25,1.7578,240,0.316,1,186,115,0.46426545
21,1.6893,220,0.307,0,196,105,0.47888737
23,1.2289,218,0.298,4,203,98,0.44932157
20,1.0124,200,0.289,0,213,88,0.46069798
26,1.4571,252,0.28,2,192,109,0.51300847
31,1.5978,310,0.271,0,203,98,0.55065747
22,1.5808,184,0.262,10,194,107,0.58579407
26,1.5399,248,0.253,3,188,113,0.54111847
28,1.5367,272,0.244,2,207,94,0.56208111
25,1.5435,226,0.235,6,205,96,0.52433755
25,1.5047,250,0.226,0,206,95,0.51490219
29,1.5309,290,0.217,0,199,102,0.57222833
25,1.5457,250,0.208,0,193,108,0.49398703
23,1.5096,220,0.199,0,194,107,0.42853197
29,1.1595,290,0.19,0,204,97,0.57120325
30,1.3138,302,0.181,2,205,96,0.58328858
26,1.4942,248,0.172,3,187,114,0.50920018
29,1.5089,290,0.163,0,189,112,0.55751796
28,1.5409,280,0.154,0,214,87,0.5534267
33,1.472,330,0.145,0,211,90,0.60556193
26,1.3234,260,0.136,0,203,98,0.44533077
26,1.0555,260,0.127,0,212,89,0.50091723
28,1.4643,280,0.118,0,196,105,0.50141596
30,1.4848,280,0.109,5,200,101,0.62503359
