Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
17,1.8727,155,0.7277,15,137,164,0.77834326
11,2.0582,105,0.7255,5,113,188,0.46046725
15,1.9558,146,0.7232,4,136,165,0.58585478
12,1.8637,112,0.721,8,129,172,0.66143529
15,1.6892,132,0.7188,20,150,151,0.6658032
15,1.1654,133,0.7165,17,119,182,0.53598578
11,1.675,74,0.7142,26,99,202,0.59526218
13,2.0388,128,0.712,12,108,193,0.66758765
10,1.8511,86,0.7097,15,127,174,0.5849366
12,1.9303,108,0.7075,13,109,192,0.54958905
13,1.8009,130,0.7052,1,114,187,0.49220973
15,1.8945,138,0.703,12,123,178,0.68550913
15,2.0283,123,0.7007,27,119,182,0.59684169
11,2.0076,94,0.6985,17,113,188,0.50565799
16,1.8871,153,0.6963,7,120,181,0.73953305
12,1.8406,117,0.694,4,110,191,0.51043845
16,1.9915,153,0.6917,7,108,193,0.63027482
16,1.8845,153,0.6895,8,113,188,0.58704146
18,1.8721,162,0.6872,19,112,189,0.88068289
17,1.9474,154,0.685,18,129,172,0.75015441
13,1.8316,111,0.6827,20,112,189,0.57180422
17,1.8352,159,0.6805,12,126,175,0.54687585
16,1.7921,151,0.6783,9,131,170,0.65038557
10,1.8802,82,0.676,19,125,176,0.57625663
15,1.8235,142,0.6737,8,155,146,0.62177126
10,1.0999,82,0.6715,18,106,195,0.46539515
16,1.5539,130,0.6692,22,123,178,0.51347886
13,1.7805,140,0.667,0,121,180,0.55670955
12,1.7553,106,0.6647,14,129,172,0.55163883
21,1.9403,187,0.6625,13,135,166,0.71486966
19,1.9499,190,0.6603,12,140,161,0.68080211
15,1.7956,130,0.658,23,146,155,0.48995257
12,1.7452,100,0.6557,20,137,164,0.58816599
19,1.7577,151,0.6535,40,141,160,0.75235917
16,1.7668,147,0.6512,13,142,159,0.70225329
15,1.7593,144,0.649,7,136,165,0.70348733
20,1.8348,185,0.6467,5,143,158,0.58378335
19,1.7454,185,0.6445,16,147,154,0.74232971
20,1.7396,191,0.6422,10,149,152,0.61827083
25,1.7529,238,0.64,14,146,155,0.79212469
19,1.7407,182,0.6378,12,158,143,0.75460493
20,1.7613,183,0.6355,19,134,167,0.61242612
22,2.0164,209,0.6332,12,139,162,0.67926556
19,1.6658,187,0.631,4,162,139,0.62041759
17,1.1134,153,0.6287,18,139,162,0.5806477
20,1.2698,195,0.6265,5,139,162,0.61316752
21,1.7564,209,0.6242,2,138,163,0.63685282
28,1.7436,268,0.622,13,153,148,0.82216689
18,1.7768,169,0.6198,13,153,148,0.64499746
19,1.744,181,0.6175,12,146,155,0.56473731
19,1.7604,180,0.6152,13,135,166,0.66725541
22,1.7641,211,0.613,9,134,167,0.68607667
22,1.7408,216,0.6107,5,136,165,0.56432618
27,1.7463,268,0.6085,3,155,146,0.82227625
27,1.7366,248,0.6062,13,140,161,0.76058754
29,1.7325,288,0.604,16,141,160,0.71352335
21,1.7476,192,0.6018,9,111,190,0.73401153
20,1.7807,199,0.5995,11,120,181,0.63838331
20,1.8403,197,0.5972,4,117,184,0.6264178
24,1.7592,230,0.595,11,149,152,0.56132688
18,1.8313,175,0.5927,5,159,142,0.62365672
24,1.6706,237,0.5905,3,147,154,0.74658019
23,1.2827,227,0.5882,3,132,169,0.70748926
24,1.8206,228,0.586,13,146,155,0.6896825
26,1.9125,246,0.5837,15,143,158,0.7688752
21,1.9834,207,0.5815,4,129,172,0.62144384
23,1.9456,220,0.5792,10,142,159,0.72394443
18,1.8681,162,0.577,18,142,159,0.72721416
19,1.8774,176,0.5747,14,145,156,0.67189048
24,1.8039,236,0.5725,4,126,175,0.73802639
18,1.8018,169,0.5702,11,126,175,0.52229328
22,1.8507,193,0.568,17,139,162,0.62615584
24,1.8181,245,0.5657,6,145,156,0.73113359
26,1.768,255,0.5635,7,152,149,0.63819638
22,1.8535,218,0.5613,2,134,167,0.63476263
19,1.2547,173,0.559,18,135,166,0.72437911
24,1.363,240,0.5567,2,164,137,0.77071535
23,1.8448,217,0.5545,17,176,125,0.64974727
22,1.7698,210,0.5522,10,149,152,0.63770254
17,1.7489,162,0.55,8,135,166,0.52301892
26,1.7411,247,0.5477,13,144,157,0.61317846
21,1.7507,190,0.5455,10,147,154,0.6760446
21,1.739,199,0.5433,14,165,136,0.57505854
18,1.7375,181,0.541,12,141,160,0.64821861
23,1.738,217,0.5387,15,168,133,0.75894695
22,1.7357,209,0.5365,16,157,144,0.60187578
25,1.7483,241,0.5342,14,161,140,0.63660315
23,1.4749,221,0.532,11,164,137,0.62009313
25,1.1324,239,0.5297,14,154,147,0.66810419
22,1.5811,213,0.5275,9,148,153,0.5630597
23,1.8633,225,0.5252,8,143,158,0.79374397
22,1.9149,208,0.523,18,162,139,0.60319169
28,1.8922,272,0.5207,10,175,126,0.75321293
30,2.127,288,0.5185,20,159,142,0.72989695
25,1.9238,236,0.5162,19,176,125,0.63549143
27,1.9514,252,0.514,10,165,136,0.68928715
32,1.8744,322,0.5117,9,153,148,0.96896122
27,1.8339,244,0.5095,20,177,124,0.7685029
25,1.9447,250,0.5072,14,164,137,0.67481894
25,1.9693,235,0.505,19,163,138,0.71649789
28,1.9234,265,0.5027,18,168,133,0.77113248
29,1.9082,288,0.5005,4,170,131,0.70704799
28,1.7422,279,0.4982,3,164,137,0.70187518
30,1.7828,285,0.496,18,187,114,0.85366647
24,1.9854,227,0.4937,18,157,144,0.75461671
26,1.8049,255,0.4915,8,171,130,0.67044908
25,1.7785,239,0.4892,14,165,136,0.70877042
30,1.911,298,0.487,2,170,131,0.73865105
28,1.9078,271,0.4847,9,170,131,0.53747039
26,1.8872,247,0.4825,15,153,148,0.72033756
29,1.8656,279,0.4802,17,202,99,0.68534701
28,1.8931,262,0.478,11,188,113,0.66037267
26,1.999,267,0.4757,4,173,128,0.68602458
28,1.8614,273,0.4735,10,186,115,0.66889478
26,1.8634,243,0.4712,21,184,117,0.58053325
27,1.844,263,0.469,10,192,109,0.76203787
32,1.8659,320,0.4667,0,188,113,0.65899272
30,1.765,298,0.4645,2,155,146,0.6439561
29,1.7321,273,0.4622,23,183,118,0.74821368
28,1.7533,272,0.46,10,173,128,0.68738915
26,1.7603,258,0.4577,5,188,113,0.70526102
30,1.7657,280,0.4555,13,171,130,0.69881251
26,1.7325,259,0.4532,14,173,128,0.68255837
28,1.7647,271,0.451,12,180,121,0.68228061
31,1.7566,308,0.4487,5,163,138,0.61458884
26,1.7632,253,0.4465,7,155,146,0.70648813
30,1.7505,297,0.4442,3,162,139,0.70019231
32,1.7548,320,0.442,1,156,145,0.74766359
32,1.7458,317,0.4397,6,182,119,0.66901823
31,1.284,292,0.4375,10,189,112,0.7078196
33,1.7526,336,0.4352,5,169,132,0.76511374
27,1.7615,264,0.433,7,151,150,0.65870534
34,1.7681,330,0.4307,11,167,134,0.8802271
26,1.7618,257,0.4285,3,181,120,0.60783365
30,1.7802,292,0.4262,8,159,142,0.73835187
30,1.8144,294,0.424,7,151,150,0.72319605
31,1.8086,310,0.4217,1,174,127,0.69858835
31,1.777,301,0.4195,16,187,114,0.78192713
29,1.7962,281,0.4172,15,209,92,0.56365511
33,1.7672,314,0.415,25,196,105,0.81740752
28,1.9053,275,0.4127,11,175,126,0.54329901
30,1.8901,290,0.4105,13,173,128,0.790298
31,1.7654,305,0.4082,8,195,106,0.68637624
27,1.7515,259,0.406,17,179,122,0.52495323
28,1.7465,264,0.4037,7,160,141,0.768548
33,1.7729,334,0.4015,12,201,100,0.74015397
36,1.7527,345,0.3992,24,204,97,0.89539267
33,1.7468,302,0.397,26,211,90,0.74814092
31,1.4474,310,0.3947,19,191,110,0.58580612
32,1.1386,318,0.3925,3,184,117,0.84754588
26,1.6651,251,0.3902,11,160,141,0.59835276
31,1.756,303,0.388,11,169,132,0.71163014
29,1.9013,290,0.3857,2,158,143,0.69636394
36,2.0007,357,0.3835,8,202,99,0.7369372
32,1.9042,312,0.3812,13,196,105,0.67592081
30,1.9681,291,0.379,17,200,101,0.55501305
29,1.8908,275,0.3767,24,214,87,0.66706096
35,1.9154,347,0.3745,8,203,98,0.84335049
28,1.8618,264,0.3722,25,198,103,0.59339529
32,1.9861,316,0.37,7,199,102,0.67986434
32,1.8102,316,0.3677,9,198,103,0.65955695
32,1.8881,320,0.3655,0,172,129,0.74869296
32,1.9468,314,0.3632,7,182,119,0.58287444
30,1.8151,288,0.361,5,178,123,0.67467229
30,1.9387,299,0.3587,16,181,120,0.66090718
34,1.9895,323,0.3565,10,194,107,0.71586338
31,1.9433,320,0.3542,0,186,115,0.62436219
36,1.8757,359,0.352,2,181,120,0.78449514
36,1.9298,351,0.3497,13,205,96,0.78437051
28,1.9631,280,0.3475,0,163,138,0.69502568
32,1.9511,308,0.3452,2,167,134,0.63098742
34,1.8728,350,0.343,1,183,118,0.60752544
32,1.8497,317,0.3407,4,169,132,0.59292265
29,1.8347,282,0.3385,8,162,139,0.7389414
36,1.8904,353,0.3362,8,202,99,0.82292572
32,1.8532,310,0.334,13,209,92,0.62189741
34,1.9188,333,0.3317,16,220,81,0.59012506
36,1.8185,353,0.3295,11,214,87,0.76121526
32,1.8013,315,0.3272,9,198,103,0.7274672
29,1.7221,286,0.325,4,174,127,0.60088369
34,1.7226,329,0.3227,11,172,129,0.69783289
34,1.1929,335,0.3205,7,180,121,0.70216771
30,1.6542,295,0.3182,5,171,130,0.60518914
33,1.7249,313,0.316,8,172,129,0.76098009
29,1.7207,300,0.3137,0,163,138,0.65172194
32,1.7861,320,0.3115,0,166,135,0.61809062
38,1.8177,378,0.3092,3,170,131,0.72055027
32,1.9216,320,0.307,0,166,135,0.64411201
29,1.9725,277,0.3047,15,166,135,0.6098687
32,1.774,319,0.3025,2,174,127,0.61212188
36,1.8261,354,0.3002,6,184,117,0.6766104
31,1.8373,308,0.298,2,175,126,0.57764745
33,1.7209,328,0.2957,2,175,126,0.55948053
27,1.7412,270,0.2935,0,185,116,0.45240071
33,1.9146,330,0.2912,0,177,124,0.67555528
29,1.9155,278,0.289,2,160,141,0.70420327
35,1.7717,360,0.2867,1,197,104,0.55889479
36,1.3592,358,0.2845,3,193,108,0.67883942
33,1.3687,327,0.2822,5,180,121,0.62901933
34,2.0012,338,0.28,7,201,100,0.80512197
37,1.8795,366,0.2777,6,180,121,0.67848993
34,1.8911,340,0.2755,1,169,132,0.63694694
37,1.9406,369,0.2732,2,185,116,0.63527735
33,1.8917,318,0.271,15,199,102,0.67877113
39,1.7737,388,0.2687,3,187,114,0.6592091
28,1.7373,280,0.2665,0,185,116,0.50087277
36,1.7675,349,0.2642,2,182,119,0.67557474
30,1.7374,305,0.262,7,173,128,0.61746924
37,1.7598,369,0.2597,4,193,108,0.70408779
32,1.7443,312,0.2575,9,188,113,0.69347391
37,1.7453,363,0.2552,9,198,103,0.56440546
37,1.7449,365,0.253,6,175,126,0.81950419
35,1.7285,345,0.2507,5,186,115,0.73395728
34,1.7577,338,0.2485,2,164,137,0.75006774
31,1.7321,299,0.2462,11,187,114,0.57486594
35,1.7308,343,0.244,7,190,111,0.65777864
38,1.7178,378,0.2417,2,187,114,0.7319379
34,1.8406,338,0.2395,2,189,112,0.55951678
30,1.7006,300,0.2372,0,183,118,0.62359813
36,1.217,353,0.235,7,183,118,0.65843581
35,1.7286,344,0.2327,8,210,91,0.61049865
