Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
17,1.8594,163,0.7277,8,141,160,0.3660583
13,1.3441,121,0.7255,10,117,184,0.33841456
17,1.8821,165,0.7232,5,150,151,0.38198537
19,1.8962,157,0.721,33,158,143,0.47545549
15,1.8991,135,0.7188,17,132,169,0.40708368
16,1.8601,153,0.7165,7,137,164,0.38054097
14,1.8916,125,0.7142,15,138,163,0.3586994
21,1.85,183,0.712,29,146,155,0.60485235
16,1.9109,154,0.7097,8,133,168,0.42322276
13,1.4806,122,0.7075,10,121,180,0.36153345
19,1.2604,175,0.7052,19,152,149,0.62326817
18,1.5381,153,0.703,31,143,158,0.49584786
20,1.8694,184,0.7007,19,138,163,0.51963221
18,1.8921,156,0.6985,26,154,147,0.56482152
16,1.9233,142,0.6963,18,138,163,0.56062535
17,1.8836,155,0.694,20,150,151,0.42405046
9,1.8729,61,0.6917,30,131,170,0.37442727
21,1.8883,195,0.6895,19,146,155,0.47373552
21,1.8922,199,0.6872,15,135,166,0.43697198
20,1.8674,177,0.685,26,152,149,0.49215866
19,1.2981,173,0.6827,18,120,181,0.56005053
17,1.4497,156,0.6805,18,143,158,0.59406537
18,1.9023,172,0.6783,12,154,147,0.49790567
13,1.895,118,0.676,14,141,160,0.40817634
25,1.8565,209,0.6737,46,158,143,0.60427591
17,1.8701,156,0.6715,16,155,146,0.47404495
15,1.8971,143,0.6692,12,133,168,0.36214904
19,1.8994,166,0.667,28,169,132,0.49104634
15,1.6536,132,0.6647,22,140,161,0.51976937
18,1.2784,158,0.6625,25,149,152,0.50465584
22,1.8439,212,0.6603,13,157,144,0.54648779
23,1.8787,209,0.658,16,162,139,0.535821
20,1.9305,198,0.6557,14,164,137,0.56550511
25,1.8793,237,0.6535,19,157,144,0.63041147
28,1.8242,271,0.6512,12,160,141,0.59725055
18,1.3696,171,0.649,10,154,147,0.41269111
19,1.8804,177,0.6467,16,156,145,0.55810573
20,1.907,195,0.6445,7,150,151,0.51723041
23,1.8632,215,0.6422,16,156,145,0.64232174
19,1.8556,173,0.64,21,149,152,0.50521008
23,1.4219,202,0.6378,25,159,142,0.49414023
